Text30,Text40,Text8,Text37,Text49,Text38,Text33,Text31,Text13,Text24,Text43,Text35,Text34,Text36
Detailed,,,,,,,,,,,,,
Time Interval,,                 # Cars                 (Total)               ,                 $ Sales                 (Total)               ,,                 $ Sales                 (Total/Car)               ,                 $ Sales                 (Base)               ,                 # Cars                 (Extra)               ,                 $ Sales                 (Extra)               ,                 $ Sales                 (Ext/Car)               ,,                 % Cars                 (Extra)               ,                 # Cars                 (Inv)               ,                 $ Sales                 (Inv)               
Location:UT0032,,,,,,,,,,,,,
01/01/2026,,,,,,,,,,,,,
00:00 - 00:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
01:00 - 01:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
02:00 - 02:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
03:00 - 03:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
04:00 - 04:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
05:00 - 05:59 am,0,,"2,735.34",0.00,,"2,735.34",0,0.00,,0.00,0,0,0.00
06:00 - 06:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
07:00 - 07:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
08:00 - 08:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09:00 - 09:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
10:00 - 10:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
11:00 - 11:59 am,0,,2.69,0.00,,0.00,0,0.00,,0.00,0,1,2.69
12:00 - 12:59 pm,1,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
01:00 - 01:59 pm,0,,2.49,0.00,,0.00,0,0.00,,0.00,0,1,2.49
02:00 - 02:59 pm,1,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
03:00 - 03:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
04:00 - 04:59 pm,1,,0.00,0.00,,0.00,1,0.00,,0.00,100,0,0.00
05:00 - 05:59 pm,3,,10.00,3.33,,0.00,1,10.00,,3.33,33,0,0.00
06:00 - 06:59 pm,0,,0.00,0.00,,0.00,2,0.00,,0.00,0,0,0.00
07:00 - 07:59 pm,4,,29.99,7.50,,29.99,4,0.00,,0.00,100,0,0.00
08:00 - 08:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09:00 - 09:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
10:00 - 10:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
11:00 - 11:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
01/02/2026,,,,,,,,,,,,,
00:00 - 00:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
01:00 - 01:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
02:00 - 02:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
03:00 - 03:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
04:00 - 04:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
05:00 - 05:59 am,0,,"2,775.03",0.00,,"2,775.03",0,0.00,,0.00,0,0,0.00
06:00 - 06:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
07:00 - 07:59 am,0,,2.69,0.00,,0.00,0,0.00,,0.00,0,1,2.69
08:00 - 08:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
09:00 - 09:59 am,1,,0.00,0.00,,0.00,2,0.00,,0.00,200,0,0.00
10:00 - 10:59 am,2,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
11:00 - 11:59 am,3,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
12:00 - 12:59 pm,6,,10.99,1.83,,10.99,1,0.00,,0.00,17,0,0.00
01:00 - 01:59 pm,12,,31.99,2.67,,21.99,3,10.00,,0.83,25,0,0.00
02:00 - 02:59 pm,5,,39.99,8.00,,29.99,5,10.00,,2.00,100,0,0.00
03:00 - 03:59 pm,21,,46.97,2.24,,46.97,10,0.00,,0.00,48,0,0.00
04:00 - 04:59 pm,19,,0.00,0.00,,0.00,14,0.00,,0.00,74,0,0.00
05:00 - 05:59 pm,20,,23.99,1.20,,23.99,10,0.00,,0.00,50,0,0.00
06:00 - 06:59 pm,8,,10.00,1.25,,0.00,7,10.00,,1.25,88,0,0.00
07:00 - 07:59 pm,4,,10.99,2.75,,10.99,2,0.00,,0.00,50,0,0.00
08:00 - 08:59 pm,6,,0.00,0.00,,0.00,2,0.00,,0.00,33,0,0.00
09:00 - 09:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
10:00 - 10:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
11:00 - 11:59 pm,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
01/03/2026,,,,,,,,,,,,,
00:00 - 00:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
01:00 - 01:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
02:00 - 02:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
03:00 - 03:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
04:00 - 04:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
05:00 - 05:59 am,0,,"2,695.06",0.00,,"2,695.06",0,0.00,,0.00,0,0,0.00
06:00 - 06:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
07:00 - 07:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
08:00 - 08:59 am,2,,2.69,1.35,,0.00,7,0.00,,0.00,350,1,2.69
09:00 - 09:59 am,13,,17.99,1.38,,17.99,16,0.00,,0.00,123,0,0.00
